Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
09-Dec-21,2021-12-09,Deceased,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,225,0,0,0,17,0,1,0,0,2,0,0,0,0,15,0,0,0,0,7,0
10-Dec-21,2021-12-10,Confirmed,6885,0,0,0,0,0,0,0,0,0,0,0,63,27,0,173,0,314,3972,0,0,15,695,0,21,0,3,286,0,0,0,0,688,0,0,0,0,628,0
10-Dec-21,2021-12-10,Recovered,8033,0,0,0,0,0,0,0,0,0,0,0,39,23,0,250,0,339,4836,0,0,12,631,0,23,0,7,524,0,0,0,0,739,0,0,0,0,610,0
10-Dec-21,2021-12-10,Deceased,381,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,340,0,0,0,12,0,0,0,0,3,0,0,0,0,11,0,0,0,0,9,0
11-Dec-21,2021-12-11,Confirmed,6698,0,0,0,0,0,0,0,0,0,0,0,71,23,0,182,0,320,3795,0,0,15,807,0,16,0,5,173,0,0,0,0,681,0,0,0,0,610,0
11-Dec-21,2021-12-11,Recovered,7314,0,0,0,0,0,0,0,0,0,0,0,27,13,0,204,0,317,4308,0,0,13,869,0,18,0,9,205,0,0,0,0,719,0,0,0,0,612,0
11-Dec-21,2021-12-11,Deceased,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,245,0,0,0,20,0,0,0,0,2,0,0,0,0,13,0,0,0,0,10,0
12-Dec-21,2021-12-12,Confirmed,6482,0,0,0,0,0,0,0,0,0,0,0,56,30,0,126,0,330,3777,0,0,21,704,0,17,0,4,160,0,0,0,0,674,0,0,0,0,583,0
12-Dec-21,2021-12-12,Recovered,6654,0,0,0,0,0,0,0,0,0,0,0,32,28,0,176,0,304,3856,0,0,16,699,0,8,0,3,233,0,0,0,0,708,0,0,0,0,591,0
12-Dec-21,2021-12-12,Deceased,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,143,0,0,0,16,0,0,0,0,1,0,0,0,0,13,0,0,0,0,6,0
13-Dec-21,2021-12-13,Confirmed,4705,0,0,0,0,0,0,0,0,0,0,0,58,13,0,119,0,236,2434,0,0,19,569,0,1,0,3,178,0,0,0,0,657,0,0,0,0,418,0
13-Dec-21,2021-12-13,Recovered,6776,0,0,0,0,0,0,0,0,0,0,0,56,21,0,215,0,321,4308,0,0,19,498,0,21,0,5,171,0,0,0,0,702,0,0,0,0,439,0
13-Dec-21,2021-12-13,Deceased,245,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,7,203,0,0,0,5,0,0,0,0,2,0,0,0,0,12,0,0,0,0,10,0
14-Dec-21,2021-12-14,Confirmed,5942,0,0,0,0,0,0,0,0,0,0,0,55,23,0,134,0,263,3377,0,0,18,684,0,9,0,3,175,0,0,0,0,649,0,0,0,0,552,0
14-Dec-21,2021-12-14,Recovered,6853,0,0,0,0,0,0,0,0,0,0,0,48,35,0,147,0,327,4073,0,0,14,686,0,73,0,9,192,0,0,0,0,695,0,0,0,0,554,0
14-Dec-21,2021-12-14,Deceased,232,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,7,174,0,0,0,24,0,1,0,1,1,0,0,0,0,9,0,0,0,0,10,0
15-Dec-21,2021-12-15,Confirmed,6919,0,0,0,0,0,0,0,0,0,0,0,53,31,0,147,0,317,4006,0,0,20,925,0,8,0,0,218,0,0,0,0,640,0,0,0,0,554,0
15-Dec-21,2021-12-15,Recovered,6716,0,0,0,0,0,0,0,0,0,0,0,53,31,0,125,0,301,3898,0,0,14,929,0,6,0,3,108,0,0,0,0,692,0,0,0,0,556,0
15-Dec-21,2021-12-15,Deceased,324,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,282,0,0,0,10,0,0,0,0,2,0,0,0,0,11,0,0,0,0,13,0
16-Dec-21,2021-12-16,Confirmed,6303,0,0,0,0,0,0,0,0,0,0,0,68,28,0,133,0,303,3404,0,0,16,877,0,11,0,3,173,0,0,0,0,627,0,0,0,0,660,0
16-Dec-21,2021-12-16,Recovered,6820,0,0,0,0,0,0,0,0,0,0,0,43,21,0,139,0,322,4145,0,0,17,632,0,10,0,6,166,0,0,0,0,687,0,0,0,0,632,0
16-Dec-21,2021-12-16,Deceased,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,320,0,0,0,19,0,1,0,1,1,0,0,0,0,12,0,0,0,0,12,0
17-Dec-21,2021-12-17,Confirmed,6223,0,0,0,0,0,0,0,0,0,0,0,60,27,0,136,0,238,3471,0,0,21,902,0,12,0,1,154,0,0,0,0,621,0,0,0,0,580,0
17-Dec-21,2021-12-17,Recovered,7683,0,0,0,0,0,0,0,0,0,0,0,58,30,0,121,0,317,4966,0,0,16,680,0,26,0,2,222,0,0,0,0,679,0,0,0,0,566,0
17-Dec-21,2021-12-17,Deceased,281,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,243,0,0,0,12,0,0,0,0,1,0,0,0,0,11,0,0,0,0,7,0
18-Dec-21,2021-12-18,Confirmed,6097,0,0,0,0,0,0,0,0,0,0,0,68,23,0,151,0,335,3297,0,0,21,854,0,6,0,4,169,0,0,0,0,613,0,0,0,0,556,0
18-Dec-21,2021-12-18,Recovered,6417,0,0,0,0,0,0,0,0,0,0,0,74,27,0,140,0,286,3609,0,0,16,804,0,14,0,3,219,0,0,0,0,665,0,0,0,0,560,0
18-Dec-21,2021-12-18,Deceased,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,218,0,0,0,11,0,0,0,0,1,0,0,0,0,9,0,0,0,0,8,0
19-Dec-21,2021-12-19,Confirmed,5808,0,0,0,0,0,0,0,0,0,0,0,51,33,0,136,0,300,2995,0,0,15,902,0,8,0,0,193,0,0,0,0,610,0,0,0,0,565,0
19-Dec-21,2021-12-19,Recovered,6966,0,0,0,0,0,0,0,0,0,0,0,55,26,0,142,0,279,4160,0,0,14,767,0,13,0,2,258,0,0,0,0,682,0,0,0,0,568,0
19-Dec-21,2021-12-19,Deceased,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,96,0,0,0,9,0,0,0,0,2,0,0,0,0,4,0,0,0,0,9,0
20-Dec-21,2021-12-20,Confirmed,4433,0,0,0,0,0,0,0,0,0,0,0,70,31,0,105,0,222,2230,0,0,20,544,0,5,0,1,186,0,0,0,0,605,0,0,0,0,414,0
20-Dec-21,2021-12-20,Recovered,6143,0,0,0,0,0,0,0,0,0,0,0,63,32,0,192,0,286,3722,0,0,17,515,0,23,0,0,174,0,0,0,0,697,0,0,0,0,422,0
20-Dec-21,2021-12-20,Deceased,442,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,419,0,0,0,4,0,1,0,0,1,0,0,0,0,6,0,0,0,0,7,0
21-Dec-21,2021-12-21,Confirmed,5319,0,0,0,0,0,0,0,0,0,0,0,87,43,0,104,0,295,2748,0,0,23,825,0,6,0,0,146,0,0,0,0,602,0,0,0,0,440,0
21-Dec-21,2021-12-21,Recovered,5685,0,0,0,0,0,0,0,0,0,0,0,73,17,0,139,0,290,3202,0,0,19,792,0,11,0,0,0,0,0,0,0,691,0,0,0,0,451,0
21-Dec-21,2021-12-21,Deceased,276,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,5,233,0,0,0,14,0,2,0,0,1,0,0,0,0,5,0,0,0,0,12,0
22-Dec-21,2021-12-22,Confirmed,6344,0,0,0,0,0,0,0,0,0,0,0,91,55,0,125,0,321,3205,0,0,19,1201,0,5,0,1,183,0,0,0,0,604,0,0,0,0,534,0
22-Dec-21,2021-12-22,Recovered,5857,0,0,0,0,0,0,0,0,0,0,0,41,14,0,143,0,253,3012,0,0,25,953,0,15,0,1,170,0,0,0,0,695,0,0,0,0,535,0
22-Dec-21,2021-12-22,Deceased,415,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,4,383,0,0,0,8,0,0,0,0,1,0,0,0,0,8,0,0,0,0,8,0
23-Dec-21,2021-12-23,Confirmed,5595,0,0,0,0,0,0,0,0,0,0,0,111,46,0,132,0,299,2514,0,0,30,1179,0,5,0,1,155,0,0,0,0,607,0,0,0,0,516,0
23-Dec-21,2021-12-23,Recovered,5987,0,0,0,0,0,0,0,0,0,0,0,78,26,0,118,0,318,3427,0,0,19,615,0,2,0,2,174,0,0,0,0,689,0,0,0,0,519,0
23-Dec-21,2021-12-23,Deceased,362,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,323,0,0,0,16,0,0,0,1,1,0,0,0,0,8,0,0,0,0,6,0
24-Dec-21,2021-12-24,Confirmed,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
24-Dec-21,2021-12-24,Recovered,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
24-Dec-21,2021-12-24,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Dec-21,2021-12-25,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Dec-21,2021-12-25,Recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Dec-21,2021-12-25,Deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Dec-21,2021-12-26,Confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
