Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered,Precautionary Dose Administered
28/03/2021,Himachal Pradesh,403332,90405,493737,
28/03/2021,Jammu and Kashmir,612275,139347,751622,
28/03/2021,Jharkhand,1341869,221552,1563421,
28/03/2021,Karnataka,3000838,415341,3416179,
28/03/2021,Kerala,2659617,371993,3031610,
28/03/2021,Ladakh,39298,6394,45692,
28/03/2021,Lakshadweep,4724,2076,6800,
28/03/2021,Madhya Pradesh,2699003,489494,3188497,
28/03/2021,Maharashtra,5023688,722914,5746602,
28/03/2021,Manipur,85717,32505,118222,
28/03/2021,Meghalaya,68243,28183,96426,
28/03/2021,Mizoram,52575,13156,65731,
28/03/2021,Nagaland,59603,22073,81676,
28/03/2021,Odisha,1844679,391944,2236623,
28/03/2021,Puducherry,61157,6823,67980,
28/03/2021,Punjab,643575,99052,742627,
28/03/2021,Rajasthan,4806418,677766,5484184,
28/03/2021,Sikkim,60149,12160,72309,
28/03/2021,Tamil Nadu,2498283,253345,2751628,
28/03/2021,Telangana,950014,225462,1175476,
28/03/2021,Tripura,582814,75233,658047,
28/03/2021,Uttar Pradesh,4393145,910385,5303530,
28/03/2021,Uttarakhand,548314,117507,665821,
28/03/2021,West Bengal,4230496,636238,4866734,
28/03/2021,Miscellaneous,1468271,598754,2067025,
28/03/2021,Total,51660234,8870201,60530435,
29/03/2021,Andaman and Nicobar Islands,15989,5372,21361,
29/03/2021,Andhra Pradesh,2035410,372913,2408323,
29/03/2021,Arunachal Pradesh,64618,19190,83808,
29/03/2021,Assam,873157,133546,1006703,
29/03/2021,Bihar,2206580,427657,2634237,
29/03/2021,Chandigarh,63620,10703,74323,
29/03/2021,Chhattisgarh,1456510,306665,1763175,
29/03/2021,Dadra and Nagar Haveli and Daman and Diu,22249,4039,26288,
29/03/2021,Delhi,960057,237170,1197227,
29/03/2021,Goa,92572,16030,108602,
29/03/2021,Gujarat,4628511,634395,5262906,
29/03/2021,Haryana,1172236,147164,1319400,
29/03/2021,Himachal Pradesh,404269,90426,494695,
29/03/2021,Jammu and Kashmir,634953,142895,777848,
29/03/2021,Jharkhand,1342204,221648,1563852,
29/03/2021,Karnataka,3130801,421237,3552038,
29/03/2021,Kerala,2805410,376210,3181620,
29/03/2021,Ladakh,39298,6394,45692,
29/03/2021,Lakshadweep,4724,2076,6800,
29/03/2021,Madhya Pradesh,2699003,489494,3188497,
29/03/2021,Maharashtra,5057844,724821,5782665,
29/03/2021,Manipur,85731,32560,118291,
29/03/2021,Meghalaya,69157,28425,97582,
29/03/2021,Mizoram,52576,13272,65848,
29/03/2021,Nagaland,59620,22074,81694,
29/03/2021,Odisha,1844679,391944,2236623,
29/03/2021,Puducherry,63209,6915,70124,
29/03/2021,Punjab,654673,99681,754354,
29/03/2021,Rajasthan,4806418,677766,5484184,
29/03/2021,Sikkim,60149,12160,72309,
29/03/2021,Tamil Nadu,2611426,260087,2871513,
29/03/2021,Telangana,950014,225462,1175476,
29/03/2021,Tripura,582814,75233,658047,
29/03/2021,Uttar Pradesh,4393145,910385,5303530,
29/03/2021,Uttarakhand,548314,117507,665821,
29/03/2021,West Bengal,4250981,637644,4888625,
29/03/2021,Miscellaneous,1468477,600796,2069273,
29/03/2021,Total,52211398,8901956,61113354,
30/03/2021,Andaman and Nicobar Islands,16480,5608,22088,
30/03/2021,Andhra Pradesh,2121512,382967,2504479,
30/03/2021,Arunachal Pradesh,65951,19938,85889,
30/03/2021,Assam,901311,137991,1039302,
30/03/2021,Bihar,2281396,430301,2711697,
30/03/2021,Chandigarh,64871,11082,75953,
30/03/2021,Chhattisgarh,1508503,310243,1818746,
30/03/2021,Dadra and Nagar Haveli and Daman and Diu,22952,4279,27231,
30/03/2021,Delhi,993695,244260,1237955,
30/03/2021,Goa,95243,17411,112654,
30/03/2021,Gujarat,4828685,653365,5482050,
30/03/2021,Haryana,1331532,151167,1482699,
30/03/2021,Himachal Pradesh,431342,91476,522818,
30/03/2021,Jammu and Kashmir,656985,146839,803824,
30/03/2021,Jharkhand,1350812,223556,1574368,
30/03/2021,Karnataka,3242113,427360,3669473,
30/03/2021,Kerala,2957153,382708,3339861,
30/03/2021,Ladakh,39387,6425,45812,
30/03/2021,Lakshadweep,4829,2130,6959,
30/03/2021,Madhya Pradesh,2702019,489773,3191792,
30/03/2021,Maharashtra,5255093,738033,5993126,
30/03/2021,Manipur,86044,33529,119573,
30/03/2021,Meghalaya,70556,29281,99837,
30/03/2021,Mizoram,52785,13527,66312,
30/03/2021,Nagaland,62104,23183,85287,
30/03/2021,Odisha,1925880,401042,2326922,
30/03/2021,Puducherry,63342,6916,70258,
30/03/2021,Punjab,690010,102319,792329,
30/03/2021,Rajasthan,4887410,694762,5582172,
30/03/2021,Sikkim,60964,12322,73286,
30/03/2021,Tamil Nadu,2684001,268310,2952311,
30/03/2021,Telangana,1034705,227420,1262125,
30/03/2021,Tripura,610584,76640,687224,
30/03/2021,Uttar Pradesh,4417459,910960,5328419,
30/03/2021,Uttarakhand,563392,119615,683007,
30/03/2021,West Bengal,4437985,653118,5091103,
30/03/2021,Miscellaneous,1469950,615462,2085412,
30/03/2021,Total,53989035,9065318,63054353,
31/03/2021,Andaman and Nicobar Islands,16480,5608,22088,
31/03/2021,Andhra Pradesh,2211816,393353,2605169,
31/03/2021,Arunachal Pradesh,65951,19938,85889,
31/03/2021,Assam,908707,140267,1048974,
31/03/2021,Bihar,2398125,436013,2834138,
31/03/2021,Chandigarh,66030,11551,77581,
31/03/2021,Chhattisgarh,1624926,317179,1942105,
31/03/2021,Dadra and Nagar Haveli and Daman and Diu,23619,4447,28066,
31/03/2021,Delhi,1014199,251453,1265652,
31/03/2021,Goa,97320,18430,115750,
31/03/2021,Gujarat,5024412,675762,5700174,
31/03/2021,Haryana,1437776,153823,1591599,
31/03/2021,Himachal Pradesh,439777,92276,532053,
31/03/2021,Jammu and Kashmir,656985,146839,803824,
31/03/2021,Jharkhand,1369270,227163,1596433,
31/03/2021,Karnataka,3374768,436239,3811007,
31/03/2021,Kerala,3015107,386811,3401918,
31/03/2021,Ladakh,39516,6494,46010,
31/03/2021,Lakshadweep,4829,2130,6959,
31/03/2021,Madhya Pradesh,2855859,500807,3356666,
31/03/2021,Maharashtra,5454614,754723,6209337,
31/03/2021,Manipur,86331,34507,120838,
31/03/2021,Meghalaya,71605,29871,101476,
31/03/2021,Mizoram,52859,13807,66666,
31/03/2021,Nagaland,63473,23774,87247,
31/03/2021,Odisha,1999347,411674,2411021,
31/03/2021,Puducherry,67035,7130,74165,
31/03/2021,Punjab,736424,106024,842448,
31/03/2021,Rajasthan,4999156,722156,5721312,
31/03/2021,Sikkim,61362,12379,73741,
31/03/2021,Tamil Nadu,2757835,273796,3031631,
31/03/2021,Telangana,1066073,229741,1295814,
31/03/2021,Tripura,620166,77180,697346,
31/03/2021,Uttar Pradesh,4483979,914705,5398684,
31/03/2021,Uttarakhand,577234,121665,698899,
31/03/2021,West Bengal,4561135,669031,5230166,
31/03/2021,Miscellaneous,1479101,705949,2185050,
31/03/2021,Total,55783201,9334695,65117896,
01/04/2021,Andaman and Nicobar Islands,17208,5666,22874,
01/04/2021,Andhra Pradesh,2328950,406552,2735502,
01/04/2021,Arunachal Pradesh,71504,21655,93159,
01/04/2021,Assam,937673,146070,1083743,
01/04/2021,Bihar,2599756,445297,3045053,
01/04/2021,Chandigarh,68995,12085,81080,
01/04/2021,Chhattisgarh,1851931,325182,2177113,
01/04/2021,Dadra and Nagar Haveli and Daman and Diu,26876,4731,31607,
01/04/2021,Delhi,1076552,260201,1336753,
01/04/2021,Goa,100899,19506,120405,
01/04/2021,Gujarat,5459159,706017,6165176,
01/04/2021,Haryana,1544298,157502,1701800,
01/04/2021,Himachal Pradesh,484104,93477,577581,
01/04/2021,Jammu and Kashmir,693927,151898,845825,
01/04/2021,Jharkhand,1392034,230961,1622995,
01/04/2021,Karnataka,3505736,441200,3946936,
01/04/2021,Kerala,3099836,390298,3490134,
01/04/2021,Ladakh,43775,6547,50322,
01/04/2021,Lakshadweep,5090,2130,7220,
01/04/2021,Madhya Pradesh,3220877,515109,3735986,
01/04/2021,Maharashtra,5749202,770774,6519976,
01/04/2021,Manipur,86708,35827,122535,
01/04/2021,Meghalaya,74888,30714,105602,
01/04/2021,Mizoram,53603,14421,68024,
01/04/2021,Nagaland,65168,24347,89515,
01/04/2021,Odisha,2190790,423393,2614183,
01/04/2021,Puducherry,69200,7370,76570,
01/04/2021,Punjab,809761,111085,920846,
01/04/2021,Rajasthan,5249027,756876,6005903,
01/04/2021,Sikkim,65348,12544,77892,
01/04/2021,Tamil Nadu,2835444,279179,3114623,
01/04/2021,Telangana,1125512,232883,1358395,
01/04/2021,Tripura,641213,78538,719751,
01/04/2021,Uttar Pradesh,4766418,931369,5697787,
01/04/2021,Uttarakhand,615072,124889,739961,
01/04/2021,West Bengal,4733333,685936,5419269,
01/04/2021,Miscellaneous,1488931,778111,2267042,
01/04/2021,Total,59148798,9640340,68789138,
02/04/2021,Andaman and Nicobar Islands,17669,5198,22867,
02/04/2021,Andhra Pradesh,2495977,411625,2907602,
02/04/2021,Arunachal Pradesh,77143,23083,100226,
02/04/2021,Assam,1003488,163636,1167124,
02/04/2021,Bihar,2690447,430946,3121393,
02/04/2021,Chandigarh,71745,13070,84815,
02/04/2021,Chhattisgarh,2181661,335795,2517456,
02/04/2021,Dadra and Nagar Haveli and Daman and Diu,31564,6190,37754,
02/04/2021,Delhi,1156290,273623,1429913,
02/04/2021,Goa,109280,20895,130175,
02/04/2021,Gujarat,5812421,765853,6578274,
02/04/2021,Haryana,1558348,156222,1714570,
02/04/2021,Himachal Pradesh,505998,89694,595692,
02/04/2021,Jammu and Kashmir,725720,164014,889734,
02/04/2021,Jharkhand,1489422,257300,1746722,
02/04/2021,Karnataka,3823255,474839,4298094,
02/04/2021,Kerala,3308955,411492,3720447,
02/04/2021,Ladakh,49210,6898,56108,
02/04/2021,Lakshadweep,5706,1815,7521,
02/04/2021,Madhya Pradesh,3377402,525938,3903340,
02/04/2021,Maharashtra,6247362,780138,7027500,
02/04/2021,Manipur,83274,32270,115544,
02/04/2021,Meghalaya,85992,34154,120146,
02/04/2021,Mizoram,56979,14889,71868,
02/04/2021,Nagaland,60743,23028,83771,
02/04/2021,Odisha,2309764,389688,2699452,
02/04/2021,Puducherry,70647,7124,77771,
02/04/2021,Punjab,973046,117044,1090090,
02/04/2021,Rajasthan,5379570,772015,6151585,
02/04/2021,Sikkim,66638,13266,79904,
02/04/2021,Tamil Nadu,2829190,272288,3101478,
02/04/2021,Telangana,1148692,245427,1394119,
02/04/2021,Tripura,629858,79527,709385,
02/04/2021,Uttar Pradesh,5366904,1061169,6428073,
02/04/2021,Uttarakhand,690893,135781,826674,
02/04/2021,West Bengal,5100255,672027,5772282,
02/04/2021,Miscellaneous,1490081,784745,2274826,
02/04/2021,Total,63081589,9972706,73054295,
03/04/2021,Andaman and Nicobar Islands,18190,5242,23432,
03/04/2021,Andhra Pradesh,2585721,421747,3007468,
03/04/2021,Arunachal Pradesh,80367,24069,104436,
03/04/2021,Assam,1033247,172811,1206058,
03/04/2021,Bihar,2795440,437120,3232560,
03/04/2021,Chandigarh,75037,13626,88663,
03/04/2021,Chhattisgarh,2351463,342599,2694062,
03/04/2021,Dadra and Nagar Haveli and Daman and Diu,34854,6496,41350,
03/04/2021,Delhi,1217323,281444,1498767,
03/04/2021,Goa,112067,21751,133818,
03/04/2021,Gujarat,6127830,795178,6923008,
03/04/2021,Haryana,1600351,158241,1758592,
03/04/2021,Himachal Pradesh,524093,90771,614864,
03/04/2021,Jammu and Kashmir,754726,167836,922562,
03/04/2021,Jharkhand,1511113,260903,1772016,
03/04/2021,Karnataka,4007374,481282,4488656,
03/04/2021,Kerala,3430171,419834,3850005,
03/04/2021,Ladakh,52961,6956,59917,
03/04/2021,Lakshadweep,5949,1840,7789,
03/04/2021,Madhya Pradesh,3549851,533820,4083671,
03/04/2021,Maharashtra,6559094,795150,7354244,
03/04/2021,Manipur,84338,34307,118645,
03/04/2021,Meghalaya,87064,34455,121519,
03/04/2021,Mizoram,57050,14937,71987,
03/04/2021,Nagaland,60826,23165,83991,
03/04/2021,Odisha,2426177,397133,2823310,
03/04/2021,Puducherry,74151,7306,81457,
03/04/2021,Punjab,1049891,121071,1170962,
03/04/2021,Rajasthan,5624931,806670,6431601,
03/04/2021,Sikkim,67370,13284,80654,
03/04/2021,Tamil Nadu,2871776,279902,3151678,
03/04/2021,Telangana,1196610,249892,1446502,
03/04/2021,Tripura,640102,81006,721108,
03/04/2021,Uttar Pradesh,5571181,1071915,6643096,
03/04/2021,Uttarakhand,730947,139958,870905,
03/04/2021,West Bengal,5271541,686947,5958488,
03/04/2021,Miscellaneous,1498293,839517,2337810,
03/04/2021,Total,65739470,10240181,75979651,
04/04/2021,Andaman and Nicobar Islands,18833,5243,24076,
04/04/2021,Andhra Pradesh,2627356,426186,3053542,
04/04/2021,Arunachal Pradesh,81893,24373,106266,
04/04/2021,Assam,1045431,175508,1220939,
04/04/2021,Bihar,2931751,442459,3374210,
04/04/2021,Chandigarh,77467,13879,91346,
04/04/2021,Chhattisgarh,2659230,351359,3010589,
04/04/2021,Dadra and Nagar Haveli and Daman and Diu,37685,6683,44368,
04/04/2021,Delhi,1296408,286639,1583047,
04/04/2021,Goa,114143,22023,136166,
04/04/2021,Gujarat,6552816,837619,7390435,
04/04/2021,Haryana,1644625,159605,1804230,
04/04/2021,Himachal Pradesh,541886,91646,633532,
04/04/2021,Jammu and Kashmir,781331,170035,951366,
04/04/2021,Jharkhand,1603481,264921,1868402,
04/04/2021,Karnataka,4123367,484817,4608184,
04/04/2021,Kerala,3462664,421560,3884224,
04/04/2021,Ladakh,55645,6962,62607,
04/04/2021,Lakshadweep,6243,1846,8089,
04/04/2021,Madhya Pradesh,3688501,538769,4227270,
04/04/2021,Maharashtra,6879975,806946,7686921,
04/04/2021,Manipur,84572,34779,119351,
04/04/2021,Meghalaya,87281,34523,121804,
04/04/2021,Mizoram,57059,14971,72030,
04/04/2021,Nagaland,60909,23222,84131,
04/04/2021,Odisha,2710936,408445,3119381,
04/04/2021,Puducherry,75651,7402,83053,
04/04/2021,Punjab,1129011,123537,1252548,
04/04/2021,Rajasthan,6020639,847987,6868626,
04/04/2021,Sikkim,67561,13295,80856,
04/04/2021,Tamil Nadu,2901208,285389,3186597,
04/04/2021,Telangana,1233204,252272,1485476,
04/04/2021,Tripura,648769,81743,730512,
04/04/2021,Uttar Pradesh,5683248,1078039,6761287,
04/04/2021,Uttarakhand,773465,143083,916548,
04/04/2021,West Bengal,5416000,696805,6112805,
04/04/2021,Miscellaneous,1498594,841755,2340349,
04/04/2021,Total,68678838,10426325,79105163,
05/04/2021,Andaman and Nicobar Islands,19927,5290,25217,
05/04/2021,Andhra Pradesh,2739725,439362,3179087,
05/04/2021,Arunachal Pradesh,83411,24181,107592,
05/04/2021,Assam,1087024,189358,1276382,
05/04/2021,Bihar,3128321,452993,3581314,
05/04/2021,Chandigarh,80579,14308,94887,
05/04/2021,Chhattisgarh,2765623,355118,3120741,
05/04/2021,Dadra and Nagar Haveli and Daman and Diu,41922,7200,49122,
05/04/2021,Delhi,1373454,299084,1672538,
05/04/2021,Goa,117638,23387,141025,
05/04/2021,Gujarat,6817703,871804,7689507,
05/04/2021,Haryana,1748000,165936,1913936,
05/04/2021,Himachal Pradesh,577594,93382,670976,
05/04/2021,Jammu and Kashmir,815056,166590,981646,
05/04/2021,Jharkhand,1685153,266344,1951497,
05/04/2021,Karnataka,4330730,493047,4823777,
05/04/2021,Kerala,3597752,433230,4030982,
05/04/2021,Ladakh,59196,6678,65874,
05/04/2021,Lakshadweep,6303,1893,8196,
05/04/2021,Madhya Pradesh,3915779,547709,4463488,
05/04/2021,Maharashtra,7298206,829042,8127248,
05/04/2021,Manipur,84333,36339,120672,
05/04/2021,Meghalaya,87720,33868,121588,
05/04/2021,Mizoram,57835,15731,73566,
05/04/2021,Nagaland,62688,23533,86221,
05/04/2021,Odisha,2868211,418839,3287050,
05/04/2021,Puducherry,77398,8023,85421,
05/04/2021,Punjab,1201737,126499,1328236,
05/04/2021,Rajasthan,6400581,898724,7299305,
05/04/2021,Sikkim,70887,12910,83797,
05/04/2021,Tamil Nadu,2907580,298198,3205778,
05/04/2021,Telangana,1296813,257959,1554772,
05/04/2021,Tripura,663699,82607,746306,
05/04/2021,Uttar Pradesh,6071090,1127282,7198372,
05/04/2021,Uttarakhand,836601,149062,985663,
05/04/2021,West Bengal,5791392,749978,6541370,
05/04/2021,Miscellaneous,1509648,908129,2417777,
05/04/2021,Total,72277309,10833617,83110926,
06/04/2021,Andaman and Nicobar Islands,21509,5341,26850,
06/04/2021,Andhra Pradesh,2813650,452961,3266611,
06/04/2021,Arunachal Pradesh,86864,25402,112266,
06/04/2021,Assam,1121967,198977,1320944,
06/04/2021,Bihar,3413610,471787,3885397,
06/04/2021,Chandigarh,83325,14968,98293,
06/04/2021,Chhattisgarh,2935774,363944,3299718,
06/04/2021,Dadra and Nagar Haveli and Daman and Diu,46211,7565,53776,
06/04/2021,Delhi,1445636,310353,1755989,
06/04/2021,Goa,121132,24656,145788,
06/04/2021,Gujarat,7110160,907581,8017741,
06/04/2021,Haryana,1832652,170337,2002989,
06/04/2021,Himachal Pradesh,640752,96325,737077,
06/04/2021,Jammu and Kashmir,875779,171870,1047649,
06/04/2021,Jharkhand,1735053,271216,2006269,
06/04/2021,Karnataka,4496243,501678,4997921,
06/04/2021,Kerala,3623797,435667,4059464,
06/04/2021,Ladakh,61203,6859,68062,
06/04/2021,Lakshadweep,7036,2016,9052,
06/04/2021,Madhya Pradesh,4112933,558136,4671069,
06/04/2021,Maharashtra,7708299,851018,8559317,
06/04/2021,Manipur,85284,37919,123203,
06/04/2021,Meghalaya,91294,34942,126236,
06/04/2021,Mizoram,60838,17526,78364,
06/04/2021,Nagaland,65756,24347,90103,
06/04/2021,Odisha,3076261,432219,3508480,
06/04/2021,Puducherry,78014,8085,86099,
06/04/2021,Punjab,1284982,131328,1416310,
06/04/2021,Rajasthan,6869590,945743,7815333,
06/04/2021,Sikkim,77249,13262,90511,
06/04/2021,Tamil Nadu,2935315,304106,3239421,
06/04/2021,Telangana,1353143,264631,1617774,
06/04/2021,Tripura,676313,83527,759840,
06/04/2021,Uttar Pradesh,6478775,1162710,7641485,
06/04/2021,Uttarakhand,905908,155827,1061735,
06/04/2021,West Bengal,6095641,777848,6873489,
06/04/2021,Miscellaneous,1509067,897782,2406849,
06/04/2021,Total,75937015,11140459,87077474,
07/04/2021,Andaman and Nicobar Islands,22919,5350,28269,
07/04/2021,Andhra Pradesh,2924901,465089,3389990,
07/04/2021,Arunachal Pradesh,88250,25781,114031,
07/04/2021,Assam,1138046,206862,1344908,
07/04/2021,Bihar,3541310,484859,4026169,
07/04/2021,Chandigarh,86126,15613,101739,
07/04/2021,Chhattisgarh,3058059,369790,3427849,
07/04/2021,Dadra and Nagar Haveli and Daman and Diu,49028,7815,56843,
07/04/2021,Delhi,1481156,318250,1799406,
07/04/2021,Goa,124443,25734,150177,
07/04/2021,Gujarat,7224754,922935,8147689,
07/04/2021,Haryana,1863517,172875,2036392,
07/04/2021,Himachal Pradesh,680428,97974,778402,
07/04/2021,Jammu and Kashmir,920603,175142,1095745,
07/04/2021,Jharkhand,1804732,275586,2080318,
07/04/2021,Karnataka,4717382,513260,5230642,
07/04/2021,Kerala,3706748,442665,4149413,
07/04/2021,Ladakh,62881,7140,70021,
07/04/2021,Lakshadweep,7566,2153,9719,
07/04/2021,Madhya Pradesh,4402970,570428,4973398,
07/04/2021,Maharashtra,8075190,874370,8949560,
07/04/2021,Manipur,86069,39543,125612,
07/04/2021,Meghalaya,94058,35833,129891,
07/04/2021,Mizoram,63880,18290,82170,
07/04/2021,Nagaland,69379,24845,94224,
07/04/2021,Odisha,3178508,439053,3617561,
07/04/2021,Puducherry,79262,8319,87581,
07/04/2021,Punjab,1343134,135146,1478280,
07/04/2021,Rajasthan,7303354,984486,8287840,
07/04/2021,Sikkim,81528,13657,95185,
07/04/2021,Tamil Nadu,2976866,315243,3292109,
07/04/2021,Telangana,1414009,271233,1685242,
07/04/2021,Tripura,682191,84838,767029,
07/04/2021,Uttar Pradesh,6672131,1175491,7847622,
07/04/2021,Uttarakhand,953024,161002,1114026,
07/04/2021,West Bengal,6252846,802674,7055520,
07/04/2021,Miscellaneous,1531779,946322,2478101,
07/04/2021,Total,78763027,11435646,90198673,
08/04/2021,Andaman and Nicobar Islands,25396,5403,30799,
08/04/2021,Andhra Pradesh,3020636,476379,3497015,
08/04/2021,Arunachal Pradesh,93105,27292,120397,
08/04/2021,Assam,1182238,223442,1405680,
08/04/2021,Bihar,3665305,502148,4167453,
08/04/2021,Chandigarh,89382,16433,105815,
08/04/2021,Chhattisgarh,3324849,383529,3708378,
08/04/2021,Dadra and Nagar Haveli and Daman and Diu,52156,8136,60292,
08/04/2021,Delhi,1565598,331955,1897553,
08/04/2021,Goa,128428,26948,155376,
08/04/2021,Gujarat,7501404,973901,8475305,
08/04/2021,Haryana,1941143,178710,2119853,
08/04/2021,Himachal Pradesh,741610,100199,841809,
08/04/2021,Jammu and Kashmir,995441,182460,1177901,
08/04/2021,Jharkhand,1855334,279814,2135148,
08/04/2021,Karnataka,4936828,526946,5463774,
08/04/2021,Kerala,3899535,457416,4356951,
08/04/2021,Ladakh,63903,7356,71259,
08/04/2021,Lakshadweep,8381,2356,10737,
08/04/2021,Madhya Pradesh,4651144,583500,5234644,
08/04/2021,Maharashtra,8435010,903521,9338531,
08/04/2021,Manipur,86907,41189,128096,
08/04/2021,Meghalaya,98207,37030,135237,
08/04/2021,Mizoram,67481,19506,86987,
08/04/2021,Nagaland,72339,25524,97863,
08/04/2021,Odisha,3317085,452068,3769153,
08/04/2021,Puducherry,81412,8687,90099,
08/04/2021,Punjab,1431295,139950,1571245,
08/04/2021,Rajasthan,7772197,1035154,8807351,
08/04/2021,Sikkim,90081,14392,104473,
08/04/2021,Tamil Nadu,3062266,339932,3402198,
08/04/2021,Telangana,1504810,278547,1783357,
08/04/2021,Tripura,698444,87417,785861,
08/04/2021,Uttar Pradesh,6951956,1193205,8145161,
08/04/2021,Uttarakhand,1015393,167519,1182912,
08/04/2021,West Bengal,6465955,846739,7312694,
08/04/2021,Miscellaneous,1563868,993037,2556905,
08/04/2021,Total,82456522,11877740,94334262,
09/04/2021,Andaman and Nicobar Islands,27698,5519,33217,
09/04/2021,Andhra Pradesh,3081189,490044,3571233,
09/04/2021,Arunachal Pradesh,97952,28525,126477,
09/04/2021,Assam,1215771,238806,1454577,
09/04/2021,Bihar,3721925,511864,4233789,
09/04/2021,Chandigarh,92814,17335,110149,
09/04/2021,Chhattisgarh,3541500,394904,3936404,
09/04/2021,Dadra and Nagar Haveli and Daman and Diu,55718,8442,64160,
09/04/2021,Delhi,1613241,343552,1956793,
09/04/2021,Goa,133271,28793,162064,
09/04/2021,Gujarat,7749340,1024900,8774240,
09/04/2021,Haryana,2025153,187429,2212582,
09/04/2021,Himachal Pradesh,788371,102907,891278,
09/04/2021,Jammu and Kashmir,1053961,186819,1240780,
09/04/2021,Jharkhand,1879304,283325,2162629,
09/04/2021,Karnataka,5242211,546969,5789180,
09/04/2021,Kerala,4099030,476570,4575600,
09/04/2021,Ladakh,64284,7676,71960,
09/04/2021,Lakshadweep,9225,2461,11686,
09/04/2021,Madhya Pradesh,4770449,591710,5362159,
09/04/2021,Maharashtra,8702534,930190,9632724,
09/04/2021,Manipur,88308,42653,130961,
09/04/2021,Meghalaya,101170,37957,139127,
09/04/2021,Mizoram,71542,21136,92678,
09/04/2021,Nagaland,74498,26035,100533,
09/04/2021,Odisha,3485921,470325,3956246,
09/04/2021,Puducherry,83958,9138,93096,
09/04/2021,Punjab,1527164,145704,1672868,
09/04/2021,Rajasthan,8167023,1078215,9245238,
09/04/2021,Sikkim,97386,15028,112414,
09/04/2021,Tamil Nadu,3168084,365785,3533869,
09/04/2021,Telangana,1611571,286803,1898374,
09/04/2021,Tripura,713357,89811,803168,
09/04/2021,Uttar Pradesh,7170213,1226991,8397204,
09/04/2021,Uttarakhand,1070169,173613,1243782,
09/04/2021,West Bengal,6785233,889401,7674634,
09/04/2021,Miscellaneous,1583314,1023973,2607287,
09/04/2021,Total,85763852,12311308,98075160,
10/04/2021,Andaman and Nicobar Islands,29877,5570,35447,
10/04/2021,Andhra Pradesh,3284504,522204,3806708,
10/04/2021,Arunachal Pradesh,101758,29546,131304,
10/04/2021,Assam,1236253,250041,1486294,
10/04/2021,Bihar,3956794,537610,4494404,
10/04/2021,Chandigarh,96744,18264,115008,
10/04/2021,Chhattisgarh,3722048,406400,4128448,
10/04/2021,Dadra and Nagar Haveli and Daman and Diu,59130,8778,67908,
10/04/2021,Delhi,1705369,357342,2062711,
10/04/2021,Goa,140447,30685,171132,
10/04/2021,Gujarat,7983507,1073335,9056842,
10/04/2021,Haryana,2089324,194630,2283954,
10/04/2021,Himachal Pradesh,837397,105435,942832,
10/04/2021,Jammu and Kashmir,1095827,190736,1286563,
10/04/2021,Jharkhand,1971885,289726,2261611,
10/04/2021,Karnataka,5502677,564422,6067099,
10/04/2021,Kerala,4270953,492900,4763853,
10/04/2021,Ladakh,64518,7913,72431,
10/04/2021,Lakshadweep,10148,2555,12703,
10/04/2021,Madhya Pradesh,4866689,598432,5465121,
10/04/2021,Maharashtra,8970148,953386,9923534,
10/04/2021,Manipur,88817,43387,132204,
10/04/2021,Meghalaya,103084,38242,141326,
10/04/2021,Mizoram,73635,21594,95229,
10/04/2021,Nagaland,75334,26146,101480,
10/04/2021,Odisha,3607557,483794,4091351,
10/04/2021,Puducherry,87159,9578,96737,
10/04/2021,Punjab,1618664,151307,1769971,
10/04/2021,Rajasthan,8450218,1115090,9565308,
10/04/2021,Sikkim,99963,15238,115201,
10/04/2021,Tamil Nadu,3275326,391223,3666549,
10/04/2021,Telangana,1764351,296514,2060865,
10/04/2021,Tripura,721022,91266,812288,
10/04/2021,Uttar Pradesh,7255844,1238115,8493959,
10/04/2021,Uttarakhand,1104878,178795,1283673,
10/04/2021,West Bengal,6973057,918593,7891650,
10/04/2021,Miscellaneous,1591055,1050394,2641449,
10/04/2021,Total,88885961,12709186,101595147,
11/04/2021,Andaman and Nicobar Islands,32059,5612,37671,
11/04/2021,Andhra Pradesh,3363469,529534,3893003,
11/04/2021,Arunachal Pradesh,105089,30010,135099,
11/04/2021,Assam,1244430,254299,1498729,
11/04/2021,Bihar,4191596,556630,4748226,
11/04/2021,Chandigarh,99484,18671,118155,
11/04/2021,Chhattisgarh,3888692,415408,4304100,
11/04/2021,Dadra and Nagar Haveli and Daman and Diu,61498,9025,70523,
11/04/2021,Delhi,1780624,365116,2145740,
11/04/2021,Goa,147239,31151,178390,
11/04/2021,Gujarat,8156563,1103721,9260284,
11/04/2021,Haryana,2182047,200626,2382673,
11/04/2021,Himachal Pradesh,876536,107374,983910,
11/04/2021,Jammu and Kashmir,1129343,193025,1322368,
11/04/2021,Jharkhand,2065590,294576,2360166,
11/04/2021,Karnataka,5636466,572558,6209024,
11/04/2021,Kerala,4333801,496868,4830669,
11/04/2021,Ladakh,65236,8161,73397,
11/04/2021,Lakshadweep,10693,2591,13284,
11/04/2021,Madhya Pradesh,5224167,615064,5839231,
11/04/2021,Maharashtra,9220610,971743,10192353,
11/04/2021,Manipur,90439,43957,134396,
11/04/2021,Meghalaya,104057,38388,142445,
11/04/2021,Mizoram,73847,22010,95857,
11/04/2021,Nagaland,79484,26370,105854,
11/04/2021,Odisha,3719357,494827,4214184,
11/04/2021,Puducherry,93816,9730,103546,
