Vaccinated As of,State,First Dose Administered,Second Dose Administered,Total Doses Administered,Precautionary Dose Administered
20/01/2021,Chhattisgarh,16255,0,16255,
20/01/2021,Dadra and Nagar Haveli and Daman and Diu,219,0,219,
20/01/2021,Delhi,12902,0,12902,
20/01/2021,Goa,426,0,426,
20/01/2021,Gujarat,21832,0,21832,
20/01/2021,Haryana,30402,0,30402,
20/01/2021,Himachal Pradesh,5094,0,5094,
20/01/2021,Jammu and Kashmir,4414,0,4414,
20/01/2021,Jharkhand,11641,0,11641,
20/01/2021,Karnataka,121466,0,121466,
20/01/2021,Kerala,24269,0,24269,
20/01/2021,Ladakh,240,0,240,
20/01/2021,Lakshadweep,369,0,369,
20/01/2021,Madhya Pradesh,27770,0,27770,
20/01/2021,Maharashtra,52055,0,52055,
20/01/2021,Manipur,1454,0,1454,
20/01/2021,Meghalaya,1365,0,1365,
20/01/2021,Mizoram,1508,0,1508,
20/01/2021,Nagaland,2988,0,2988,
20/01/2021,Odisha,68743,0,68743,
20/01/2021,Puducherry,759,0,759,
20/01/2021,Punjab,7607,0,7607,
20/01/2021,Rajasthan,32379,0,32379,
20/01/2021,Sikkim,573,0,573,
20/01/2021,Tamil Nadu,33670,0,33670,
20/01/2021,Telangana,69405,0,69405,
20/01/2021,Tripura,3734,0,3734,
20/01/2021,Uttar Pradesh,22644,0,22644,
20/01/2021,Uttarakhand,6119,0,6119,
20/01/2021,West Bengal,46310,0,46310,
20/01/2021,Miscellaneous,26940,0,26940,
20/01/2021,Total,806484,0,806484,
21/01/2021,Andaman and Nicobar Islands,1032,0,1032,
21/01/2021,Andhra Pradesh,115365,0,115365,
21/01/2021,Arunachal Pradesh,4682,0,4682,
21/01/2021,Assam,10676,0,10676,
21/01/2021,Bihar,63541,0,63541,
21/01/2021,Chandigarh,753,0,753,
21/01/2021,Chhattisgarh,22171,0,22171,
21/01/2021,Dadra and Nagar Haveli and Daman and Diu,278,0,278,
21/01/2021,Delhi,18844,0,18844,
